Id,TotalActiveMinutes,SedentaryMinutes,TotalDistance,ActivityDays,WalkingSpeed,ActivityScore,HR_std,ActiveToSedentary,Cluster,Group,CustomGroup,PCA1,PCA2
2022484408,313.0967741935484,1112.5806451612902,8.084193491166635,31,0.0257379067706856,134.54643104945058,17.59558572758637,0.2811621911300368,0,Mostly Active,Mostly Active,0.58068968799682,0.7730510846479216
2026352035,257.0,689.4193548387096,3.4548387152533375,31,0.013390847733540068,112.10401725432007,12.610530238015432,0.3722375367939074,0,Mostly Active,Mostly Active,0.7045340766682492,-1.9342478492887476
2347167796,286.55555555555554,687.1666666666666,6.355555535915001,18,0.02210200920526855,120.0288528249838,15.515707955633452,0.41640429482522,0,Mostly Active,Mostly Active,1.4297046934035218,-0.7588098285089443
4020332650,87.48387096774194,1237.258064516129,1.6261290389323428,31,0.018377688737478172,44.299061693718016,15.911590433844985,0.07065075808888657,1,Mostly Sedentary,Mostly Active,-3.444773530769673,0.016447239182896225
4388161847,272.8709677419355,836.6774193548387,8.393225892897574,31,0.03064664342518549,118.45758108980175,15.847276837451979,0.3257470733210105,0,Mostly Active,Mostly Active,0.8443038361899649,0.383931641899861
4558609924,309.06451612903226,1093.6129032258063,5.080645176672166,31,0.0163857678398707,132.93072218196488,14.134071121801918,0.28235051424866653,0,Mostly Active,Mostly Active,0.3150230314884617,-0.6047790844115698
5553957443,242.61290322580646,668.3548387096774,5.63967744958016,31,0.023150159022376184,106.3521063380293,14.823101877789753,0.36245783132530124,0,Mostly Active,Mostly Active,0.7664889198589923,-0.7879811464320811
5577150313,265.1,754.4333333333333,6.213333304723104,30,0.023349617830601667,115.0470048853492,20.95978673274812,0.35092441424348064,0,Mostly Active,Mostly Active,0.9516664330976508,0.3357795477424725
6117666160,291.9642857142857,796.2857142857143,5.342142914022717,28,0.01823479234336658,125.19118472341731,14.119755033065669,0.36619781401182583,0,Mostly Active,Mostly Active,1.023005903244693,-1.0548247196342682
6775888955,65.96153846153847,1299.423076923077,1.8134615161241252,26,0.0270821363694585,34.19274002552622,17.604449382630804,0.050723137440477954,1,Mostly Sedentary,Mostly Active,-3.712844594991846,1.1249303605532854
6962181067,287.1290322580645,662.3225806451613,6.585806477454403,31,0.022857142946830104,124.15847004610985,17.002701257035422,0.4328648543500462,0,Mostly Active,Mostly Active,1.6544284397481006,-0.5221425486068378
7007744171,328.03846153846155,1055.3461538461538,8.015384591542757,26,0.024360023305682252,139.02269262237635,13.985928326102824,0.31054068814855273,0,Mostly Active,Mostly Active,0.8692050114743102,-0.00027455712447504397
8792009665,96.79310344827586,1060.4827586206898,1.1865517168209476,29,0.012133286243937759,47.42088136518352,13.714312797206519,0.09118669395445536,1,Mostly Sedentary,Mostly Active,-3.1102354106775096,-1.1575687781008503
8877689391,310.7096774193548,1112.8709677419354,13.212903138129944,31,0.042388491905415326,133.59658751531356,30.601735396796744,0.278945844193455,0,Mostly Active,Mostly Active,1.128803503268267,4.186488638081338
